"","S","se"
"1",12,0
"2",12.0028904124281,0.00348725682892849
"3",12.0076157642428,0.00497557011542747
"4",12.0144222080115,0.0060336428692456
"5",12.0238663956325,0.00693370907017068
"6",12.0215443377291,0.00780737720564392
"7",12.0313547505790,0.00856448216474365
"8",12.0358580212609,0.00913669025723958
"9",12.0340246587971,0.00970658385116308
"10",12.0359030945032,0.0101674998292915
"11",12.0392007757683,0.0107401828235821
"12",12.0382832453165,0.0113413422200093
"13",12.0428915091802,0.011824002370977
"14",12.0462421501440,0.0123043493725150
"15",12.0501625253556,0.0128171072553979
"16",12.0535255362499,0.0132843685346560
"17",12.0516962059515,0.0137230763876164
"18",12.0563666999687,0.0142383005088392
"19",12.0586258110290,0.0147869647425863
"20",12.0580593323536,0.0153998777948399
"21",12.0600771133023,0.0156228486187304
"22",12.0588510779307,0.016022215818832
"23",12.060142628985,0.0162656989622537
"24",12.0605991483238,0.0167895421257500
"25",12.0621661319433,0.01716622172226
"26",12.0635700016736,0.0175907305206666
"27",12.0620989943457,0.0179876486863071
"28",12.0552527628399,0.0182749773820479
"29",12.0623696686592,0.018649814568203
"30",12.0604002711171,0.0189270232996383
"31",12.0616220482132,0.0191682786683336
"32",12.0672152696568,0.0194555965697013
"33",12.0673163565134,0.0198750321059689
"34",12.0733778689986,0.0202996047013474
"35",12.0765110937611,0.0205760785356687
"36",12.0757640117474,0.0209280354353064
"37",12.0743385101770,0.0211777181064956
"38",12.0807080350550,0.0214261671246496
"39",12.0928739659891,0.0216836450338445
"40",12.0939138208166,0.0219124079345222
"41",12.0993898635800,0.0222698913006967
"42",12.1039835735158,0.0225635946109058
"43",12.1039867183507,0.022811287332039
"44",12.1067404956171,0.0231167274846338
"45",12.1046064441126,0.023261483349205
"46",12.0997452253432,0.0235537000138900
"47",12.0993020437564,0.0238918507924823
"48",12.0995341516189,0.0241481523448459
"49",12.1007325189365,0.024386700275616
"50",12.1009038817046,0.0246466192870273
"51",12.1065893647591,0.0248534055698635
"52",12.1037237924473,0.0252045530662638
"53",12.1022945189674,0.025493593432056
"54",12.0995509422670,0.0256487447935014
"55",12.1056777647394,0.0259263366656733
"56",12.1102312341531,0.0260927595114849
"57",12.1111504406704,0.0264137185201974
"58",12.1126999923270,0.0266338598309598
"59",12.1150501152901,0.0270668771384185
"60",12.1209091425217,0.0273229972911979
"61",12.1274148134151,0.0274872609546110
"62",12.1302373562043,0.0277217832438949
"63",12.1325842639377,0.0280395743000454
"64",12.1326727072064,0.0283336488298476
"65",12.1379130696283,0.0286190233625832
"66",12.1396217132948,0.028873762524836
"67",12.1402575540771,0.0290054586323218
"68",12.1471803141039,0.0292089982000492
"69",12.1522074662635,0.0293799846808419
"70",12.1594480359686,0.0295700876348830
"71",12.1650449974143,0.0298628849208766
"72",12.1635335490619,0.0300559688286849
"73",12.1724800973508,0.030160510674476
"74",12.1742446226314,0.0305597364311480
"75",12.1764608620578,0.030696070834144
"76",12.1845785915158,0.0309773362712951
"77",12.1881945824606,0.0310861457889008
"78",12.1914287027666,0.0313072177345277
"79",12.1957150222206,0.0316219526425227
"80",12.1944334281071,0.0318653832485580
"81",12.1878521483855,0.0319282039262787
"82",12.1928668325330,0.0320806567587933
"83",12.1938302493154,0.0322104976332842
"84",12.1942952754878,0.0323980421097299
"85",12.1981500100526,0.0325459392837615
"86",12.2004950770849,0.0327930923513141
"87",12.2038793746460,0.0330905058756123
"88",12.2060771309932,0.0331711086724934
"89",12.2150371704187,0.0334224162169764
"90",12.2121592886599,0.0337479924326387
"91",12.2080186608542,0.034030245090857
"92",12.2140263818163,0.0341132774846598
"93",12.2129005065346,0.0343525416114303
"94",12.2174098960834,0.0345180002939637
"95",12.2196512624573,0.0347406010164029
"96",12.2253118751642,0.0349196797606005
"97",12.2329586426086,0.0351834830004398
"98",12.2309073375822,0.0354428134211073
"99",12.238774130166,0.035677044358201
"100",12.2437196220563,0.0359153102308629
"101",12.2451128811291,0.0360164493027944
