"","T","payoffAve","payoffStdDev","sigma","K","S0","r","C","Cup","Clow","D","Dup","Dlow","G","Gup","Glow"
"75",100,0,0,0.013,14,7.4,2e-04,0,0,0,0,0,0,0,0,0
"76",100,0,0,0.013,14,7.5,2e-04,0,0,0,0,0,0,0,0,0
"77",100,0,0,0.013,14,7.6,2e-04,0,0,0,0,0,0,0,0,0
"78",100,0,0,0.013,14,7.7,2e-04,0,0,0,0,0,0,0,0,0
"79",100,0,0,0.013,14,7.8,2e-04,0,0,0,0,0,0,0,0,0
"80",100,0,0,0.013,14,7.9,2e-04,0,0,0,0,0,0,0,0,0
"81",100,0,0,0.013,14,8,2e-04,0,0,0,0,0,0,0,0,0
"82",100,0,0,0.013,14,8.1,2e-04,0,0,0,0,0,0,0,0,0
"83",100,0,0,0.013,14,8.2,2e-04,0,0,0,0,0,0,0,0,0
"84",100,0,0,0.013,14,8.3,2e-04,0,0,0,0,0,0,0,0,0
"85",100,0,0,0.013,14,8.4,2e-04,0,0,0,0,0,0,0,0,0
"86",100,0,0,0.013,14,8.5,2e-04,0,0,0,0,0,0,0,0,0
"87",100,0,0,0.013,14,8.6,2e-04,0,0,0,0,0,0,0,0,0
"88",100,0,0,0.013,14,8.7,2e-04,0,0,0,0,0,0,0,0,0
"89",100,0,0,0.013,14,8.8,2e-04,0,0,0,0,0,0,0,0,0
"90",100,0,0,0.013,14,8.9,2e-04,0,0,0,0,0,0,0,0,0
"91",100,0,0,0.013,14,9,2e-04,0,0,0,0,0,0,0,0,0
"92",100,0,0,0.013,14,9.1,2e-04,0,0,0,0,0,0,0,0,0
"93",100,0,0,0.013,14,9.2,2e-04,0,0,0,0,0,0,0,0,0
"94",100,0,0,0.013,14,9.3,2e-04,0,0,0,0,0,0,0.000928319474110066,0.00274779220951296,0
"95",100,0,0,0.013,14,9.4,2e-04,0,0,0,0.000185663894822013,0.000549558441902591,0,0.00274372039308703,0.00812131354718569,0
"96",100,3.78829108584009e-05,0.00169417527729899,0.013,14,9.5,2e-04,3.71327789644026e-05,0.000109911688380518,0,0.000548744078617406,0.00162426270943714,0,0.00270248236384354,0.00799925046583154,0
"97",100,0.000111965888867445,0.00500726677337588,0.013,14,9.6,2e-04,0.000109748815723481,0.000324852541887428,0,0.000726160367590721,0.0021494085350689,0,0.00141969806214535,0.00320136086610519,0
"98",100,0.000186048866876476,0.00832035826945218,0.013,14,9.7,2e-04,0.000182364852482547,0.000539793395394298,0,0.000832683691046477,0.00226453488265818,0,0.00228840625448274,0.00290109021519937,0
"99",100,0.000281866892352253,0.0116735026624849,0.013,14,9.8,2e-04,0.000276285553932777,0.000777759518419063,0,0.00118384161848727,0.00272962657810877,0,0.00364610513740921,0.00513731479124915,0
"100",100,0.000427600227988507,0.0155170329204506,0.013,14,9.9,2e-04,0.000419133176180001,0.00108571871101605,0,0.00156190471852832,0.00329199784090801,0,0.00620195924143589,0.00829180653399526,0
"101",100,0.000600558349719594,0.0197282564884928,0.013,14,10,2e-04,0.00058866649763844,0.00143615908660066,0,0.00242423346677445,0.00438798788490783,0,0.0098326589111213,0.0126952909580889,0
"102",100,0.000922241474256707,0.0246596381410546,0.013,14,10.1,2e-04,0.00090397986953489,0.00196331628799762,0,0.00352843650075258,0.00583105603252578,0,0.0121244679912092,0.0158166253421441,0.0068507921602837
"103",100,0.00132050147897301,0.0304485080422818,0.013,14,10.2,2e-04,0.00129435379778896,0.00260237029310582,0,0.00484912706501629,0.00755131295333666,0.00137015843205674,0.0154960062849720,0.0196875872188222,0.0170919427578211
"104",100,0.00191165866019463,0.0372401413758141,0.013,14,10.3,2e-04,0.00187380528253815,0.00347357887866495,0.000274031686411348,0.00662763775774699,0.00976857347629021,0.00341838855156422,0.0165511349729473,0.0209793831609861,0.0160068005081045
"105",100,0.00267280646330609,0.0450716885340822,0.013,14,10.4,2e-04,0.00261988134933835,0.00455608498836386,0.000683677710312844,0.00815935405960576,0.0117471895855339,0.00457151853367764,0.0165181689550781,0.0208307251366525,0.0125471802117014
"106",100,0.00357649544926714,0.0539439427814902,0.013,14,10.5,2e-04,0.0035056760944593,0.00582301679577172,0.00118833539314688,0.0099312715487626,0.0139347185036207,0.00592782459390451,0.0231165149160082,0.0273051338493718,0.0189278959826447
"107",100,0.00469918577174954,0.063710442286544,0.013,14,10.6,2e-04,0.00460613565909088,0.007343028689088,0.00186924262909375,0.0127826570428074,0.0172082163554082,0.00835709773020657,0.030113919781754,0.0345979227648561,0.0256299167986519
"108",100,0.00618467221810205,0.0745479151019889,0.013,14,10.7,2e-04,0.00606220750302078,0.00926466006685337,0.00285975493918819,0.0159540555051134,0.0208543030565919,0.0110538079536349,0.0306472814915963,0.0354580562181265,0.0258365067650661
"109",100,0.00795445553278512,0.0865244094673204,0.013,14,10.8,2e-04,0.00779694676011356,0.0115138893004064,0.00408000421982072,0.0189121133411267,0.0242998275990335,0.0135243990832198,0.0321591963324909,0.0369813334896396,0.0273370591753421
"110",100,0.0100435048927731,0.0996313695536322,0.013,14,10.9,2e-04,0.00984463017124611,0.0141246255866601,0.00556463475583215,0.0223858947716116,0.0282505697545198,0.0165212197887033,0.0460255755941764,0.0508984276483464,0.0411527235400062
"111",100,0.0125220795015243,0.113828438739397,0.013,14,11,2e-04,0.0122741257144359,0.0171640032513104,0.00738424817756138,0.0281172284599619,0.0344795131287028,0.0217549437912210,0.0672501730736667,0.0726651121367252,0.0618352340106083
"112",100,0.0157805517233114,0.129252108527037,0.013,14,11.1,2e-04,0.0154680758632385,0.0210205282124006,0.00991562351407636,0.0358359293863449,0.0427835921818649,0.0288882665908250,0.0723548804285324,0.0785304338749723,0.0661793269820928
"113",100,0.019834052137735,0.146174508878704,0.013,14,11.2,2e-04,0.0194413115917049,0.0257207216876833,0.0131619014957264,0.0425882045456684,0.0501855999036973,0.0349908091876396,0.071616094171527,0.0780688619377502,0.0651633264053038
"114",100,0.0244702603926763,0.164623123263865,0.013,14,11.3,2e-04,0.0239857167723722,0.0310576481931401,0.0169137853516043,0.0501591482206503,0.0583973645694149,0.0419209318718857,0.089534402615568,0.0959887548933612,0.0830800503377742
"115",100,0.0300685381835966,0.184528978818114,0.013,14,11.4,2e-04,0.0294731412358349,0.0374001946015663,0.0215460878701035,0.060495085068782,0.0693833508823695,0.0516068192551944,0.11181313665595,0.118509160774661,0.105117112537239
"116",100,0.0368136937631171,0.20600401319544,0.013,14,11.5,2e-04,0.0360847337861286,0.044934318369614,0.0272351492026432,0.0725217755518403,0.0820991967243472,0.0629443543793335,0.133266428038098,0.140347836383481,0.126185019692716
"117",100,0.0448659007034181,0.229118353132503,0.013,14,11.6,2e-04,0.043977496346203,0.0538200339464358,0.0341349587459702,0.0871483706764017,0.0974529181590657,0.0768438231937376,0.141010043392003,0.148459108645962,0.133560978138044
"118",100,0.0545954706721598,0.253978652356541,0.013,14,11.7,2e-04,0.0535144079214089,0.0644249020014271,0.0426039138413907,0.100723784230241,0.111791018453540,0.0896565500069422,0.125440688196614,0.132961136054320,0.117920240338908
"119",100,0.0654176086322696,0.280643814999449,0.013,14,11.8,2e-04,0.0641222531922512,0.0761782376371437,0.0520662687473587,0.112236508315725,0.124045145369930,0.100427871261519,0.125739111080678,0.132820687990135,0.118657534171222
"120",100,0.077496237908885,0.308955845931803,0.013,14,11.9,2e-04,0.0759617095845538,0.0892339310754131,0.0626894880936945,0.125871606446377,0.138355156051567,0.113388056841187,0.154478915445411,0.160950980521729,0.148006850369091
"121",100,0.0911004849458523,0.338763183051879,0.013,14,12,2e-04,0.0892965744815265,0.103849268847457,0.074743880115596,0.143132291404807,0.156235341474276,0.130029241335338,0.174435696336308,0.180630936588523,0.168240456084093
"122",100,0.106700989007342,0.369959407713644,0.013,14,12.1,2e-04,0.104588167865515,0.120480999370268,0.088695336360762,0.160758745713638,0.174481343369271,0.147036148058005,0.169757041004946,0.175915570232834,0.163598511777058
"123",100,0.123901742505467,0.402651157947382,0.013,14,12.2,2e-04,0.121448323624254,0.138745537521311,0.104151109727197,0.177083699605796,0.191418455520842,0.162748943690749,0.164947055492680,0.170844148665763,0.159049962319599
"124",100,0.142833194534288,0.436697393408192,0.013,14,12.3,2e-04,0.140004907786674,0.158764690474437,0.121245125098912,0.193748156812174,0.208650173102424,0.178846140521925,0.176302182762568,0.181671046253512,0.170933319271624
