"","x"
"1",12.2751344649152
"2",10.4065570497928
"3",11.9775882344772
"4",14.7761266829002
"5",10.7283034850328
"6",13.6126237833138
"7",11.686060511025
"8",12.2168844782764
"9",11.6106128656558
"10",10.1332702639348
"11",12.8734174403600
"12",12.0263822360371
"13",13.8738054896329
"14",10.2251355670896
"15",13.7781060753067
"16",12.8355444802092
"17",12.0973378836012
"18",9.9536838636691
"19",14.4407840129710
"20",13.3820546993494
"21",11.8559028297529
"22",12.0285834425153
"23",10.357609224672
"24",14.5630198983303
"25",13.7737551074379
"26",9.13466259903626
"27",13.3940782908549
"28",10.5508382755172
"29",12.7124755791106
"30",11.3755397212821
"31",9.6102305666052
"32",11.854807002134
"33",11.9286256730732
"34",14.4342332678572
"35",9.44479419803276
"36",14.1468011608967
"37",11.7118849341073
"38",13.1660389777701
"39",11.1399413980554
"40",11.0933548484200
"41",16.3769836908467
"42",12.9509719505164
"43",12.3241062856227
"44",12.8198812010356
"45",12.0588786819441
"46",11.6919632770958
"47",13.3590530687951
"48",17.3513142535495
"49",11.6991584587628
"50",10.9744955921553
"51",14.6005205843121
"52",13.5799697929688
"53",15.4185357324536
"54",12.1952010362322
"55",11.8290428334122
"56",13.6144064485455
"57",12.9290783145285
"58",13.6363708970875
"59",10.7207149361280
"60",12.9109918838180
"61",12.7020540206320
"62",10.2727911655185
"63",12.1785286762554
"64",12.2199698923113
"65",14.0533901718374
"66",9.4778712056746
"67",12.4329143608893
"68",11.3752043934629
"69",14.5029850873216
"70",13.2754129346824
"71",11.2200530697050
"72",10.2891871078581
"73",10.4094051485146
"74",9.5490095364457
"75",12.5918194170769
"76",11.6557048668173
"77",10.5902698435847
"78",10.3997026057921
"79",11.0400887186502
"80",13.1582898719919
"81",14.2791275950643
"82",11.8826100430307
"83",10.3525257742838
"84",10.1308945906547
"85",13.1327943282135
"86",11.7330672199113
"87",13.7391539502087
"88",13.7575206211235
"89",12.3588381512444
"90",12.6747855093726
"91",14.9979860610406
"92",13.414491801722
"93",12.0641837170117
"94",10.9789590913168
"95",10.2495996003767
"96",13.5725049516227
"97",11.7116344084271
"98",11.025801996213
"99",9.47625969299478
"100",12.2720628835503
"101",11.1053874560302
"102",14.8863956705716
"103",12.2517347066142
"104",11.5282052506075
"105",10.7725070650434
"106",13.0539929124993
"107",11.9127985980105
"108",13.9106017985107
"109",11.3996561688544
"110",12.2398499848863
"111",10.5835738889354
"112",12.7921954183823
"113",13.1416095844488
"114",14.1470996695110
"115",15.0165024196073
"116",11.1924312823205
"117",10.8408283984031
"118",10.2226029815885
"119",12.3183434664057
"120",12.1609190906557
"121",12.5470139425463
"122",13.7974505704191
"123",12.4162057866898
"124",12.1802798381790
"125",13.3654432582349
"126",11.5691783834870
"127",13.0999706214581
"128",13.1489857666634
"129",13.1524989305460
"130",13.4068382535106
"131",13.3570159599310
"132",11.4393748666546
"133",11.9097287305763
"134",14.2894495414755
"135",13.1089934252828
"136",13.9839983659578
"137",13.7269039122627
"138",12.513817956253
"139",14.6497971615446
"140",14.4141163120574
"141",10.0986368907547
"142",10.5476938278144
"143",13.2167385020141
"144",14.6943174638226
"145",10.5309356268037
"146",11.5445218330017
"147",15.2022795342290
"148",15.1418061343000
"149",11.3824524154455
"150",14.5826646248700
"151",10.4668935809166
"152",10.4311998011580
"153",9.75035929927792
"154",10.221734902562
"155",11.5552305055909
"156",11.2485440108375
"157",11.161490106284
"158",11.2737107762409
"159",9.3373273114147
"160",11.3501678604841
"161",12.7730034811424
"162",10.8824560262278
"163",11.6683840926763
"164",11.3777079968614
"165",10.5645455914020
"166",11.7908743237266
"167",11.3997415289106
"168",11.3205785946964
"169",14.5069085167223
"170",12.5923249819457
"171",11.7492676053875
"172",13.5926307024020
"173",11.9314534690578
"174",9.94743826255251
"175",12.6564340554006
"176",12.2204174902478
"177",14.6187031644362
"178",13.1129816908569
"179",11.8836782463084
"180",12.6457571134515
"181",12.2749165498504
"182",10.4417406810256
"183",13.9827833005032
"184",11.1075447491687
"185",11.1133422278503
"186",13.0553432476135
"187",12.3847137628489
"188",12.9530419410413
"189",13.598602585204
"190",14.1889235398668
"191",11.1546537704772
"192",12.4873028527895
"193",12.1298958598552
"194",11.5464765763816
"195",14.5997768141626
"196",11.5414910297702
"197",13.6263810062895
"198",11.7419237734472
"199",11.7559746432446
"200",12.6327314773803
"201",10.7424881230323
"202",12.3229115690428
"203",13.7528109859686
"204",13.6356930796182
"205",13.2877047816462
"206",10.7495652338344
"207",11.7646871410184
"208",11.3928057151801
"209",11.1536082622466
"210",11.4939143906736
"211",11.6578299676226
"212",11.4321830116947
"213",12.6206899788304
"214",12.5304847481686
"215",12.8149334629531
"216",13.5787346021772
"217",10.3526456596594
"218",13.2231633334604
"219",9.47003141156592
"220",10.6578727262859
"221",14.5015419248526
"222",10.8541313113116
"223",13.0671926247283
"224",12.2931091588702
"225",9.40709393176351
"226",13.0281172617335
"227",11.8758040810538
"228",9.6226941198486
"229",10.2584261540321
"230",13.7233045953754
"231",9.8558744952389
"232",10.4479221270107
"233",12.9963895992224
"234",12.7135740735417
"235",10.1070849368654
"236",10.7830367975721
"237",13.1110393467194
"238",13.642456852443
"239",12.6074708411364
"240",12.3073960077131
"241",10.6332905882142
"242",10.1418660911209
"243",11.8409191410687
"244",10.1989660721959
"245",12.8353486556572
"246",10.7276203061414
"247",10.5243191988618
"248",10.2994561890933
"249",11.6399067070889
"250",12.1998535193539
"251",12.6204992773268
"252",11.8856674626403
"253",13.2819761880130
"254",9.30429520483842
"255",12.8132682953660
"256",13.0385213310603
"257",11.1615616857901
"258",13.5419788150610
"259",12.7174955391367
"260",9.7158478929734
"261",10.1196755415013
"262",13.3259496602804
"263",12.6765525285653
"264",10.8179549838350
"265",14.6889026735544
"266",12.4893107061380
"267",11.5512651912797
"268",11.8873978779820
"269",14.3092605120163
"270",11.7703020296622
"271",10.4223314621500
"272",12.2284166377132
