"","T","payoffAve","payoffStdDev","sigma","K","S0","r","C","Cup","Clow","D","Dup","Dlow","G","Gup","Glow"
"1",100,0,0,0.013,14,0,2e-04,0,0,0,-1,-1,-1,-1,-1,-1
"2",100,0,0,0.013,14,0.1,2e-04,0,0,0,0,0,0,-1,-1,-1
"3",100,0,0,0.013,14,0.2,2e-04,0,0,0,0,0,0,0,0,0
"4",100,0,0,0.013,14,0.3,2e-04,0,0,0,0,0,0,0,0,0
"5",100,0,0,0.013,14,0.4,2e-04,0,0,0,0,0,0,0,0,0
"6",100,0,0,0.013,14,0.5,2e-04,0,0,0,0,0,0,0,0,0
"7",100,0,0,0.013,14,0.6,2e-04,0,0,0,0,0,0,0,0,0
"8",100,0,0,0.013,14,0.7,2e-04,0,0,0,0,0,0,0,0,0
"9",100,0,0,0.013,14,0.8,2e-04,0,0,0,0,0,0,0,0,0
"10",100,0,0,0.013,14,0.9,2e-04,0,0,0,0,0,0,0,0,0
"11",100,0,0,0.013,14,1,2e-04,0,0,0,0,0,0,0,0,0
"12",100,0,0,0.013,14,1.1,2e-04,0,0,0,0,0,0,0,0,0
"13",100,0,0,0.013,14,1.2,2e-04,0,0,0,0,0,0,0,0,0
"14",100,0,0,0.013,14,1.3,2e-04,0,0,0,0,0,0,0,0,0
"15",100,0,0,0.013,14,1.4,2e-04,0,0,0,0,0,0,0,0,0
"16",100,0,0,0.013,14,1.5,2e-04,0,0,0,0,0,0,0,0,0
"17",100,0,0,0.013,14,1.6,2e-04,0,0,0,0,0,0,0,0,0
"18",100,0,0,0.013,14,1.7,2e-04,0,0,0,0,0,0,0,0,0
"19",100,0,0,0.013,14,1.8,2e-04,0,0,0,0,0,0,0,0,0
"20",100,0,0,0.013,14,1.9,2e-04,0,0,0,0,0,0,0,0,0
"21",100,0,0,0.013,14,2,2e-04,0,0,0,0,0,0,0,0,0
"22",100,0,0,0.013,14,2.1,2e-04,0,0,0,0,0,0,0,0,0
"23",100,0,0,0.013,14,2.2,2e-04,0,0,0,0,0,0,0,0,0
"24",100,0,0,0.013,14,2.3,2e-04,0,0,0,0,0,0,0,0,0
"25",100,0,0,0.013,14,2.4,2e-04,0,0,0,0,0,0,0,0,0
"26",100,0,0,0.013,14,2.5,2e-04,0,0,0,0,0,0,0,0,0
"27",100,0,0,0.013,14,2.6,2e-04,0,0,0,0,0,0,0,0,0
