"","x"
"1",13.7132418743845
"2",13.3998397318320
"3",13.8612150203614
"4",13.7194929552208
"5",14.2679685958472
"6",14.3414275164491
"7",14.1440307927481
"8",13.7786611634328
"9",13.8498249137880
"10",14.0587772387801
"11",13.8293604316714
"12",13.5934991523976
"13",13.6248425954391
"14",13.9166666189565
"15",13.7986673114230
"16",13.7044887668442
"17",13.9581048482007
"18",13.8456044639521
"19",13.7357153959986
"20",14.0338123252715
"21",13.8985033501133
"22",14.0963147691767
"23",13.7105384822914
"24",13.6888395732313
"25",13.4190018933359
"26",13.4781293254308
"27",14.0038110146333
"28",13.6771475783100
"29",13.9622414618055
"30",13.6629582888527
"31",13.9697633583251
"32",13.8056646443160
"33",13.7608905025396
"34",14.1890694774985
"35",13.8766773589142
"36",14.0730976175077
"37",13.5187486237184
"38",13.8596814274256
"39",13.7973177024994
"40",14.2086122175536
"41",13.6345304816722
"42",14.0596508077097
"43",14.065782513816
"44",13.8663495794999
"45",13.6916980492895
"46",13.8358873114482
"47",13.8091710433746
"48",13.8418453455350
"49",13.6180961102684
"50",13.8100937287559
"51",14.0965353214363
"52",13.9637931257334
"53",14.0132676234433
"54",13.9778529492279
"55",13.9496925898317
"56",13.6809803745305
"57",13.9158838372325
"58",13.8536320581516
"59",13.8023314285834
"60",13.8809762243312
"61",13.9853272188524
"62",14.0554368289367
"63",13.8683500876557
"64",13.5736416401996
"65",13.6478848739238
"66",13.6783752301689
"67",13.6631719180339
"68",14.0773592104043
"69",13.9163065988464
"70",13.6555478377861
"71",13.8629546122299
"72",13.8913333677836
"73",14.0266001889762
"74",13.9925087783246
"75",13.7104551300865
"76",13.7997587326356
"77",13.6418607992506
"78",13.8296881076894
"79",13.3053771580434
"80",13.5603657921202
"81",13.5594547903608
"82",13.7517413299879
"83",13.5972307962288
"84",14.0754393803303
"85",13.8138417785254
"86",13.9871677168708
"87",13.7711710774928
"88",13.9045695163076
"89",13.6297206971145
"90",14.4654031488185
"91",13.8964927618686
"92",13.7051576707174
"93",13.8953544281776
"94",13.8191202450382
"95",13.6002134123090
"96",13.9888670535963
"97",13.6802299857479
"98",14.0278922471827
"99",14.2625943871682
"100",13.6917800174951
